timestamp_utc,event,x,y,active_window_title,explorer_path,uia_control_type,uia_control_name,ocr_text,label
2025-10-29T05:33:54.560224,phishing_alert,834,488,(no subject) - malaikaarif34@gmail.com - Gmail - Google Chrome,,,,"""""""(no subject) - malaikaarif34@gmail.com - Gmail - Google Chrome""",0
2025-10-29T05:40:32.291353,phishing_alert,989,533,(no subject) - malaikaarif34@gmail.com - Gmail - Google Chrome,,,,"""""""(no subject) - malaikaarif34@gmail.com - Gmail - Google Chrome""",0
2025-10-29T10:01:30.186684,phishing_alert,726,405,(no subject) - malaikaarif34@gmail.com - Gmail - Google Chrome,,,,"""""""(no subject) - malaikaarif34@gmail.com - Gmail - Google Chrome""",0
Dgr X oo XN il.google.com/mail/u/0/?pli=1#inbox/FMfcgzQcqbVrmSmWiWcCntafirhbRplc Q. Search mail : € 8 © O80 |e @: ,""" (no subject) [Inbox x) oO | Malaika Arif. | >"""""""" tome v a Subject: A Urgent: Account Suspension Noe eee | 4 From: IT Support it-support@microsOft-secure.com To: user@company.com 4 Date: Wed""", 29 Oct 2025, 10:15 AM Dear User, L. We have detected unusual sign-in activity on your Microsoft 365 account from a new device. For your protection, your account will be temporarily suspended within 24 hours unless you verify your ide Please verify your account immediately by clicking the secure link below: Cr Verify Now Failure to complete verification may result in restricted access to your emails, calendar,""" and OneDrive files. Thank you for your prompt attention. Microsoft Account Security Team""""""",83,0
2025-10-29T10:01:46.967506,phishing_alert,589,332,(no subject) - malaikaarif34@gmail.com - Gmail - Google Chrome,,,,"""""""(no subject) - malaikaarif34@gmail.com - Gmail - Google Chrome""",0
ject) - malaikaarif34@gr X + XN 23 https://mail.google.com/mail/u/0/?pli=1#inbox/FMfcgzQcqbVrmSmWiWcCntafirhbRplc smait-——_—__— i $ A Phishing Alert - Oo x se _’ | Be careful before clicking any links,""" Consider contacting IT or the sender. _ Grails Googie Chron I OCRGRENY pect g restates 3408 6 XX 23 { 2 | """""""" £74"""""""" tome v 4 _ Subject: :’ Urgent: Account Suspension Notice — Action Required 4 From: IT Support it-support@microsOft-secure.com To: user@company.com ses 64 Date: Wed""", 29 Oct 2025, 10:15 AM Dear User, + We have detected unusual sign-in activity on your Microsoft 365 account from a new de For your protection, your account will be temporarily suspended within 24 hours unless Please verify your account immediately by clicking the secure link below: Cr Verify Now Failure to complete verification may result in restricted access to your emails, calendar,""" Thank you for your prompt attention. Microsoft Account Security Team""""""",82,0
2025-10-29T10:02:03.409266,phishing_alert,589,332,(no subject) - malaikaarif34@gmail.com - Gmail - Google Chrome,,,,"""""""(no subject) - malaikaarif34@gmail.com - Gmail - Google Chrome""",0
ject) - malaikaarif34@gr X + XN 23 https://mail.google.com/mail/u/0/?pli=1#inbox/FMfcgzQcqbVrmSmWiWcCntafirhbRplc smait-——_—__— i $ A Phishing Alert - Oo x — $ A Phishing Alert - Oo x se | || Be iThisyemailllookstsuspicious!) ———— Be careful before clicking any links. Consider contacting IT or the sender,""" 0g te Chrome) — Coxa$ A) """"""""<a! tome v aA 4 _ Subject: :’ Urgent: Account Suspension Notice — Action Required 4 From: IT Support it-support@microsOft-secure.com To: user@company.com ses 64 Date: Wed""", 29 Oct 2025, 10:15 AM Dear User, + We have detected unusual sign-in activity on your Microsoft 365 account from a new de For your protection, your account will be temporarily suspended within 24 hours unless Please verify your account immediately by clicking the secure link below: Cr Verify Now Failure to complete verification may result in restricted access to your emails, calendar,""" Thank you for your prompt attention. Microsoft Account Security Team""""""",82,0
2025-10-29T10:02:18.425118,phishing_alert,589,332,(no subject) - malaikaarif34@gmail.com - Gmail - Google Chrome,,,,"""""""(no subject) - malaikaarif34@gmail.com - Gmail - Google Chrome""",0
2025-10-29T10:02:33.815020,phishing_alert,589,332,(no subject) - malaikaarif34@gmail.com - Gmail - Google Chrome,,,,"""""""(no subject) - malaikaarif34@gmail.com - Gmail - Google Chrome""",0
2025-10-29T10:02:54.254632,phishing_alert,347,73,(no subject) - malaikaarif34@gmail.com - Gmail - Google Chrome,,,,"""""""(no subject) - malaikaarif34@gmail.com - Gmail - Google Chrome""",0
2025-11-29T07:25:50.089876,phishing_alert,1163,488,Inbox (898) - affafahmadd@gmail.com - Gmail - Google Chrome,,,,"""""""Inbox (898) - affafahmadd@gmail.com - Gmail - Google Chrome""",0
2025-11-29T07:26:05.328858,phishing_alert,570,791,Inbox (898) - affafahmadd@gmail.com - Gmail - Google Chrome,,,,"""""""Inbox (898) - affafahmadd@gmail.com - Gmail - Google Chrome""",0
2025-11-29T07:55:56.834421,phishing_alert,1462,1039,Inbox (492) - affafahmad79@gmail.com - Gmail - Google Chrome,,,,"""""""Inbox (492) - affafahmad79@gmail.com - Gmail - Google Chrome""",0
2025-11-29T07:56:13.426038,phishing_alert,753,397,URGENT: Password Reset Required Now - affafahmad79@gmail.com - Gmail - Google Chrome,,,,"""""""URGENT: Password Reset Required Now - affafahmad79@gmail.com - Gmail - Google Chrome""",1
2025-11-29T07:56:29.295605,phishing_alert,92,101,Order #8369 confirmed - affafahmad79@gmail.com - Gmail - Google Chrome,,,,"""""""Order #8369 confirmed - affafahmad79@gmail.com - Gmail - Google Chrome""",0
2025-11-29T07:56:45.945730,phishing_alert,943,817,Help us protect your Temu account - affafahmad79@gmail.com - Gmail - Google Chrome,,,,"""""""Help us protect your Temu account - affafahmad79@gmail.com - Gmail - Google Chrome""",0
2025-11-29T08:09:40.073406,phishing_alert,1470,1063,Inbox (487) - affafahmad79@gmail.com - Gmail - Google Chrome,,,,"""""""Inbox (487) - affafahmad79@gmail.com - Gmail - Google Chrome""",0
2025-11-29T08:09:55.516873,phishing_alert,451,312,URGENT: Password Reset Required Now - affafahmad79@gmail.com - Gmail - Google Chrome,,,,"""""""URGENT: Password Reset Required Now - affafahmad79@gmail.com - Gmail - Google Chrome""",1
2025-11-29T08:10:12.197313,phishing_alert,856,563,We updated our Privacy Policy and Terms of Service - affafahmad79@gmail.com - Gmail - Google Chrome,,,,"""""""We updated our Privacy Policy and Terms of Service - affafahmad79@gmail.com - Gmail - Google Chrome""",0
2025-11-29T08:10:28.864328,phishing_alert,1410,1035,Inbox (898) - affafahmadd@gmail.com - Gmail - Google Chrome,,,,"""""""Inbox (898) - affafahmadd@gmail.com - Gmail - Google Chrome""",0
ssful We're glad - Item(s) from your order has been successfully cancelled Dear affafahmadd, W... Nov 10 failure, can present with several warning signs th... - Kidney failure, also known as renal failur... Nov 10 Analyst recently posted - 4% We're Hiring: IT Project Manager We're looking for an experienced... Nov7 ved? ~ Hi affafahmadd, Thank you for contacting us. Your case no. 2500000182130315 has now b... Nov 7 auide to Zero Trust Network Access Explained - In the modern digital era, where remote work ... Nov 6 ner Support - 2500000182130315 - Dear Customer, | hope you are doing well,""" concerning your c... Nov 5 sted - Internship Completed [Y I'm pleased to share that I've successfully completed... wa Nov 4 00000182130315 - Dear Custo] ©’ Wiel Ramee) our time an... Nov 4 Next Generation of Cloud Sec a ieee |emote-firs... Nov 4 9A AeWMEGC@CrEDVDE a OB SO we oO =m So oOo fo) o""""""",82,0
2025-11-29T08:13:11.152362,phishing_alert,517,216,Inbox (898) - affafahmadd@gmail.com - Gmail - Google Chrome,,,,"""""""Inbox (898) - affafahmadd@gmail.com - Gmail - Google Chrome""",0
